time_ms,accel_x,accel_y,accel_z,raw_angle_deg,angle_deg,actual_angle_deg
48210,10.12,-0.30,-1.62,-9.08,-9.08,0
48413,10.08,-0.33,-1.67,-9.43,-9.43,0
48616,10.04,-0.31,-1.60,-9.05,-9.05,0
48819,10.12,-0.25,-1.72,-9.64,-9.64,0
49022,10.14,-0.32,-1.66,-9.30,-9.30,0
49225,10.16,-0.33,-1.65,-9.25,-9.25,0
49428,10.14,-0.35,-1.66,-9.28,-9.28,0
345402,10.03,-0.33,-2.80,-15.62,-6.32,5
345605,10.02,-0.30,-2.76,-15.38,-6.08,5
345808,10.05,-0.27,-2.76,-15.35,-6.05,5
346011,10.01,-0.33,-2.81,-15.67,-6.37,5
346214,10.05,-0.34,-2.75,-15.31,-6.01,5
400009,9.82,-0.36,-3.62,-20.24,-10.94,10
400212,9.87,-0.31,-3.70,-20.54,-11.24,10
400415,9.79,-0.30,-3.58,-20.10,-10.80,10
400618,9.81,-0.31,-3.64,-20.38,-11.08,10
477149,9.62,-0.22,-4.40,-24.60,-15.30,15
477352,9.65,-0.31,-4.39,-24.46,-15.16,15
477555,9.59,-0.26,-4.41,-24.70,-15.40,15
477758,9.64,-0.17,-4.37,-24.38,-15.08,15
625136,9.24,-0.10,-5.28,-29.74,-20.44,20
625339,9.30,-0.04,-5.27,-29.53,-20.23,20
625542,9.32,-0.08,-5.26,-29.46,-20.16,20
625745,9.26,-0.08,-5.30,-29.78,-20.48,20
625948,9.32,-0.04,-5.14,-28.85,-19.55,20
626151,9.23,-0.10,-5.27,-29.72,-20.42,20
626354,9.31,-0.07,-5.16,-28.99,-19.69,20
626557,9.33,-0.07,-5.17,-28.99,-19.69,20
626760,9.24,-0.02,-5.21,-29.40,-20.10,20
626963,9.33,-0.10,-5.29,-29.58,-20.28,20
682788,8.97,-0.30,-6.08,-34.15,-24.85,25
682991,9.01,-0.24,-6.00,-33.67,-24.37,25
683194,8.93,-0.32,-5.97,-33.74,-24.44,25
683397,8.96,-0.30,-6.03,-33.93,-24.63,25
683600,8.96,-0.30,-6.04,-34.01,-24.71,25
683803,8.91,-0.31,-6.05,-34.17,-24.87,25
684006,8.96,-0.29,-6.01,-33.83,-24.53,25
684209,8.95,-0.31,-5.97,-33.68,-24.38,25
684412,8.92,-0.25,-5.99,-33.87,-24.57,25
684615,8.94,-0.33,-6.01,-33.91,-24.61,25
684818,8.95,-0.32,-5.97,-33.70,-24.40,25
685021,8.94,-0.29,-5.95,-33.63,-24.33,25
